PMID,Abstract,pubdate,authors,sorttitle,pages,lang,nlmuniqueid,fulljournalname,elocationid,doctype,publisherlocation,publishername,srcdate,sortpubdate,sortfirstauthor,ReviewerA,ReviewerB
28721249,"The ligand-induced transcription factor, aryl hydrocarbon receptor (AhR) is known for its capacity to tune adaptive immunity and xenobiotic metabolism-biological properties subject to regulation by the indigenous microbiome. The objective of this study was to probe the postulated microbiome-AhR crosstalk and whether such an axis could influence metabolic homeostasis of the host. Utilising a systems-biology approach combining in-depth (1)H-NMR-based metabonomics (plasma, liver and skeletal muscle) with microbiome profiling (small intestine, colon and faeces) of AhR knockout (AhR(-/-)) and wild-type (AhR(+/+)) mice, we assessed AhR function in host metabolism. Microbiome metabolites such as short-chain fatty acids were found to regulate AhR and its target genes in liver and intestine. The AhR signalling pathway, in turn, was able to influence microbiome composition in the small intestine as evident from microbiota profiling of the AhR(+/+) and AhR(-/-) mice fed with diet enriched with a specific AhR ligand or diet depleted of any known AhR ligands. The AhR(-/-) mice also displayed increased levels of corticosterol and alanine in serum. In addition, activation of gluconeogenic genes in the AhR(-/-) mice was indicative of on-going metabolic stress. Reduced levels of ketone bodies and reduced expression of genes involved in fatty acid metabolism in the liver further underscored this observation. Interestingly, exposing AhR(-/-) mice to a high-fat diet showed resilience to glucose intolerance. Our data suggest the existence of a bidirectional AhR-microbiome axis, which influences host metabolic pathways.",2016,"Korecka A, Dona A, Lahiri S, Tett AJ, Al-Asmakh M, Braniste V, D'Arienzo R, Abbaspour A, Reichardt N, Fujii-Kuriyama Y, Rafter J, Narbad A, Holmes E, Nicholson J, Arulampalam V, Pettersson S",bidirectional communication between the aryl hydrocarbon receptor ahr and the microbiome tunes host metabolism,16014,eng,101666944,NPJ biofilms and microbiomes,doi: 10.1038/npjbiofilms.2016.14,citation,NA,NA,NA,2016/08/24 00:00,Korecka A,1,4
28411689,"The present study was designed to investigate the therapeutic effcts of Moutan Cortex (CM, root bark of Paeonia suffruticosa Andr) and Paeoniae Radix Rubra (PR, root of Paeonia veitchii Lynch) on metabolic disorders, focusing on the infuence of CM and PR on the obesity-related gut microbiota homeostasis. The diet-induced obese (DIO) mouse model was used to test the therapeutic effects of CM and PR. The mice were orally administered with CM and PR for 6 weeks, and oral glucose tolerance test (OGTT) and insulin tolerance test (ITT) were performed to evaluate the insulin sensitivity of the mice. Sterol-regulatory element binding proteins (SREBPs) and their target genes were measured by quantitative RT-PCR. High-throughput 16S ribosomal RNA (16S rRNA) gene sequencing technology was used to determine the composition of gut microbiota, and the metabolites in serum were analyzed by GC-MS. Our results indicated that CM and PR combination alleviated obese and insulin resistance in the DIO mice, leading to increased glucose uptake and gene expression in muscle and liver, and down-regulated SREBPs and their target genes in liver. Interesting, neither the CM-PR extracts, nor the major components of CM and PR did not affect SREBPs activity in cultured cells. Meanwhile, CM and PR significantly modulated the gut microbiota of the high-fat diet (HFD) treated mice, similar to metformin, and CM-PR reversed the overall microbiota composition similar to the normal chow diet (NCD) treated mice. In conclusion, our results provide novel mechanisms of action for the effects of CM and PR in treating DIO-induced dysregulation of sugar and lipid metabolism.Copyright © 2017 China Pharmaceutical University. Published by Elsevier B.V. All rights reserved.",2017 Mar,"Zhong LJ, Xie ZS, Yang H, Li P, Xu XJ",moutan cortex and paeoniae radix rubra reverse high fat diet induced metabolic disorder and restore gut microbiota homeostasis,210-219,eng,101504416,Chinese journal of natural medicines,doi: 10.1016/S1875-5364(17)30037-7,citation,NA,NA,NA,2017/03/01 00:00,Zhong LJ,1,12
26552345,"The gut microbiota plays an important role in human health by interacting with host diet, but there is substantial inter-individual variation in the response to diet. Here we compared the gut microbiota composition of healthy subjects who exhibited improved glucose metabolism following 3-day consumption of barley kernel-based bread (BKB) with those who responded least to this dietary intervention. The Prevotella/Bacteroides ratio was higher in responders than non-responders after BKB. Metagenomic analysis showed that the gut microbiota of responders was enriched in Prevotella copri and had increased potential to ferment complex polysaccharides after BKB. Finally, germ-free mice transplanted with microbiota from responder human donors exhibited improved glucose metabolism and increased abundance of Prevotella and liver glycogen content compared with germ-free mice that received non-responder microbiota. Our findings indicate that Prevotella plays a role in the BKB-induced improvement in glucose metabolism observed in certain individuals, potentially by promoting increased glycogen storage.Copyright © 2015 Elsevier Inc. All rights reserved.",2015 Dec 1,"Kovatcheva-Datchary P, Nilsson A, Akrami R, Lee YS, De Vadder F, Arora T, Hallen A, Martens E, Björck I, Bäckhed F",dietary fiber induced improvement in glucose metabolism is associated with increased abundance of prevotella,971-82,eng,101233170,Cell metabolism,doi: 10.1016/j.cmet.2015.10.001,citation,NA,NA,NA,2015/12/01 00:00,Kovatcheva-Datchary P,1,10
26053244,"To distinguish the effects of dietary fat profile on gut parameters and their relationships with metabolic changes and to determine the capacity of n-3 fatty acids to modify gut variables in the context of diet-induced metabolic dysfunctions.Mice received control or high-fat diets emphasizing saturated (HFD-sat), n-6 (HFD-n6), or n-3 (HFD-n3) fatty acids for 8 weeks. In another cohort, mice that were maintained on HFD-sat received n-3-rich fish oil or resolvin D1 supplementation.HFD-sat and HFD-n6 induced similar weight gain, but only HFD-sat increased index of insulin resistance (HOMA-IR), colonic permeability, and mesenteric fat inflammation. Hydrogen sulfide-producing bacteria were one of the major groups driving the diet-specific changes in gut microbiome, with the overall microbial profile being associated with changes in body weight, HOMA-IR, and gut permeability. In mice maintained on HFD-sat, fish oil and resolvin D1 restored barrier function and reduced inflammation in the colon but were unable to normalize HOMA-IR.Different dietary fat profiles led to distinct intestinal and metabolic outcomes that are independent of obesity. Interventions targeting inflammation successfully restored gut health but did not reverse systemic aspects of diet-induced metabolic dysfunction, implicating separation between gut dysfunctions and disease-initiating and/or -maintaining processes.© 2015 The Obesity Society.",2015 Jul,"Lam YY, Ha CW, Hoffmann JM, Oscarsson J, Dinudom A, Mather TJ, Cook DI, Hunt NH, Caterson ID, Holmes AJ, Storlien LH",effects of dietary fat profile on gut permeability and microbiota and their relationships with metabolic changes in mice,1429-39,eng,101264860,"Obesity (Silver Spring, Md.)",doi: 10.1002/oby.21122,citation,NA,NA,NA,2015/07/01 00:00,Lam YY,1,11
28280490,"Capsaicin (CAP) reduces body weight mainly through activation of transient receptor potential vanilloid 1 (TRPV1) cation channel. However, recent evidence indicates that the gut microbiota influences many physiological processes in host and might provoke obesity. This study determined whether the anti-obesity effect of CAP is related to the changes in gut microbiota. C57BL/6 mice were fed either with high-fat diet (HFD) or HFD with CAP (HFD-CAP) for 9 weeks. We observed a significantly reduced weight gain and improved glucose tolerance in HFD-CAP-fed mice compared with HFD-fed mice. 16S rRNA gene sequencing results showed a decrease of phylum Proteobacteria in HFD-CAP-fed mice. In addition, HFD-CAP-fed mice showed a higher abundance of Akkermansia muciniphila, a mucin-degrading bacterium with beneficial effects on host metabolism. Further studies found that CAP directly up-regulates the expression of Mucin 2 gene Muc2 and antimicrobial protein gene Reg3g in the intestine. These data suggest that the anti-obesity effect of CAP is associated with a modest modulation of the gut microbiota.",2017,"Shen W, Shen M, Zhao X, Zhu H, Yang Y, Lu S, Tan Y, Li G, Li M, Wang J, Hu F, Le S",anti obesity effect of capsaicin in mice fed with high fat diet is associated with an increase in population of the gut bacterium i akkermansia muciniphila i,272,eng,101548977,Frontiers in microbiology,doi: 10.3389/fmicb.2017.00272,citation,NA,NA,NA,2017/02/23 00:00,Shen W,1,3
20603004,"The intestinal microbiota impacts many facets of human health and is associated with human diseases. Diet impacts microbiota composition, yet mechanisms that link dietary changes to microbiota alterations remain ill-defined. Here we elucidate the basis of Bacteroides proliferation in response to fructans, a class of fructose-based dietary polysaccharides. Structural and genetic analysis disclosed a fructose-binding, hybrid two-component signaling sensor that controls the fructan utilization locus in Bacteroides thetaiotaomicron. Gene content of this locus differs among Bacteroides species and dictates the specificity and breadth of utilizable fructans. BT1760, an extracellular beta2-6 endo-fructanase, distinguishes B. thetaiotaomicron genetically and functionally, and enables the use of the beta2-6-linked fructan levan. The genetic and functional differences between Bacteroides species are predictive of in vivo competitiveness in the presence of dietary fructans. Gene sequences that distinguish species' metabolic capacity serve as potential biomarkers in microbiomic datasets to enable rational manipulation of the microbiota via diet.",2010 Jun 25,"Sonnenburg ED, Zheng H, Joglekar P, Higginbottom SK, Firbank SJ, Bolam DN, Sonnenburg JL",specificity of polysaccharide use in intestinal bacteroides species determines diet induced microbiota alterations,1241-52,eng,0413066,Cell,doi: 10.1016/j.cell.2010.05.005,citation,NA,NA,NA,2010/06/25 00:00,Sonnenburg ED,1,8
28500724,"Obesity and associated metabolic complications is a worldwide public health issue. Gut microbiota have been recently linked to obesity and its related inflammation. In this study, we have explored the anti-inflammatory effect of grape seed proanthocyanindin extract (GSPE) in the high-fat diet (HFD)-induced obesity and identified the contribution of the gut microbiota to GSPE effects on metabolism.Mice were fed a normal diet and a high-fat diet with or without GSPE (300 mg/kg body weight/day) by oral gavage for 7 weeks. Supplementation with GSPE significantly decreased plasma levels of inflammatory factors such as TNF-α, IL-6 and MCP-1, companied with ameliorated macrophage infiltration in epidydimal fat and liver tissues. Furthermore, GSPE also reduced epidydimal fat mass and improved insulin sensitivity. 16S rDNA analyses revealed that GSPE supplementation modulated the gut microbiota composition and certain bacteria including Clostridium XIVa, Roseburia and Prevotella. More importantly, depleting gut microbiota by antibiotics treatment abolished the beneficial effects of GSPE on inflammation and adiposity.Our study identifies the novel links between gut microbiota alterations and metabolic benefits by GSPE supplementation, providing possibilities for the prevention and treatment of metabolic disorders by targeting gut microbiota through a potential prebiotic agent GSPE.© 2017 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.",2017 May 12,"Liu W, Zhao S, Wang J, Shi J, Sun Y, Wang W, Ning G, Hong J, Liu R",grape seed proanthocyanidin extract ameliorates inflammation and adiposity by modulating gut microbiota in high fat diet mice,NA,eng,101231818,Molecular nutrition &amp; food research,doi: 10.1002/mnfr.201601082,citation,NA,NA,NA,2017/05/12 00:00,Liu W,1,2
25762527,"Diet-induced obesity is associated to an imbalance in the normal gut microbiota composition. Resveratrol and quercetin, widely known for their health beneficial properties, have low bioavailability, and when they reach the colon, they are targets of the gut microbial ecosystem. Hence, the use of these molecules in obesity might be considered as a potential strategy to modulate intestinal bacterial composition. The purpose of this study was to determine whether trans-resveratrol and quercetin administration could counteract gut microbiota dysbiosis produced by high-fat sucrose diet (HFS) and, in turn, improve gut health. Wistar rats were randomised into four groups fed an HFS diet supplemented or not with trans-resveratrol [15 mg/kg body weight (BW)/day], quercetin (30 mg/kg BW/day) or a combination of both polyphenols at those doses. Administration of both polyphenols together prevented body weight gain and reduced serum insulin levels. Moreover, individual supplementation of trans-resveratrol and quercetin effectively reduced serum insulin levels and insulin resistance. Quercetin supplementation generated a great impact on gut microbiota composition at different taxonomic levels, attenuating Firmicutes/Bacteroidetes ratio and inhibiting the growth of bacterial species previously associated to diet-induced obesity (Erysipelotrichaceae, Bacillus, Eubacterium cylindroides). Overall, the administration of quercetin was found to be effective in lessening HFS-diet-induced gut microbiota dysbiosis. In contrast, trans-resveratrol supplementation alone or in combination with quercetin scarcely modified the profile of gut bacteria but acted at the intestinal level, altering the mRNA expression of tight-junction proteins and inflammation-associated genes.Copyright © 2015 Elsevier Inc. All rights reserved.",2015 Jun,"Etxeberria U, Arias N, Boqué N, Macarulla MT, Portillo MP, Martínez JA, Milagro FI",reshaping faecal gut microbiota composition by the intake of trans resveratrol and quercetin in high fat sucrose diet fed rats,651-60,eng,9010081,The Journal of nutritional biochemistry,doi: 10.1016/j.jnutbio.2015.01.002,citation,NA,NA,NA,2015/06/01 00:00,Etxeberria U,1,7
19706296,"The composition of the gut microbiome is affected by host phenotype, genotype, immune function, and diet. Here, we used the phenotype of RELMbeta knockout (KO) mice to assess the influence of these factors.Both wild-type and RELMbeta KO mice were lean on a standard chow diet, but, upon switching to a high-fat diet, wild-type mice became obese, whereas RELMbeta KO mice remained comparatively lean. To investigate the influence of diet, genotype, and obesity on microbiome composition, we used deep sequencing to characterize 25,790 16S rDNA sequences from uncultured bacterial communities from both genotypes on both diets.We found large alterations associated with switching to the high-fat diet, including a decrease in Bacteroidetes and an increase in both Firmicutes and Proteobacteria. This was seen for both genotypes (ie, in the presence and absence of obesity), indicating that the high-fat diet itself, and not the obese state, mainly accounted for the observed changes in the gut microbiota. The RELMbeta genotype also modestly influenced microbiome composition independently of diet. Metagenomic analysis of 537,604 sequence reads documented extensive changes in gene content because of a high-fat diet, including an increase in transporters and 2-component sensor responders as well as a general decrease in metabolic genes. Unexpectedly, we found a substantial amount of murine DNA in our samples that increased in proportion on a high-fat diet.These results demonstrate the importance of diet as a determinant of gut microbiome composition and suggest the need to control for dietary variation when evaluating the composition of the human gut microbiome.",2009 Nov,"Hildebrandt MA, Hoffmann C, Sherrill-Mix SA, Keilbaugh SA, Hamady M, Chen YY, Knight R, Ahima RS, Bushman F, Wu GD",high fat diet determines the composition of the murine gut microbiome independently of obesity,1716-24.e1-2,eng,0374630,Gastroenterology,doi: 10.1053/j.gastro.2009.08.042,citation,NA,NA,NA,2009/11/01 00:00,Hildebrandt MA,1,6
28252966,"The gastrointestinal microbiota in the gut interacts metabolically and immunologically with the host tissue in the contact zone of the mucus layer. For understanding the details of these interactions and especially their dynamics it is crucial to identify the metabolically active subset of the microbiome. This became possible by the development of stable isotope probing techniques, which have only sparsely been applied to microbiome research. We applied the in vivo stable isotope approach using (15)N-labeled diet with subsequent identification of metabolically active bacterial species. Four-week old male Sprague-Dawley rats were randomly assigned to chow diet (CD, n =15) and high-fat diet (HFD, n =15). After 11 weeks, three animals from each group were sacrificed for baseline characterization of anthropometric and metabolic obesity. The remaining animals were exposed to either a (15)N-labeled (n =9) or a (14)N-unlabeled experimental diet (n =3). Three rats from each cohort (HFD and CD) were sacrificed at 12, 24, and 72 h. The remaining three animals from each cohort, which received the (14)N-unlabeled diet, were sacrificed after 72 h. The colon was harvested and divided into three equal sections (proximal, medial, and distal), and the mucus layer of each specimen was sampled by scraping. We identified the active subset in an HFD model of obesity in comparison with lean controls rats using metaproteomics. In addition, all samples were investigated by 16S rRNA amplicon gene sequencing. The active microbiome of the HFD group showed an increase in bacterial taxa for Verrucomicrobia and Desulfovibrionaceae. In contrast with no significant changes in alpha diversity, time- and localization-dependent effects in beta-diversity were clearly observed. In terms of enzymatic functions the HFD group showed strong affected metabolic pathways such as energy production and carbohydrate metabolism. In vivo isotope labeling combined with metaproteomics provides a valuable method to distinguish the active from the non-active bacterial phylogenetic groups that are relevant for microbiota-host interaction. For morbid obesity such analysis may provide potentially new strategies for targeted pre- or probiotic treatments.",2017 Apr 7,"Oberbach A, Haange SB, Schlichting N, Heinrich M, Lehmann S, Till H, Hugenholtz F, Kullnick Y, Smidt H, Frank K, Seifert J, Jehmlich N, von Bergen M",metabolic in vivo labeling highlights differences of metabolically active microbes from the mucosal gastrointestinal microbiome between high fat and normal chow diet,1593-1604,eng,101128775,Journal of proteome research,doi: 10.1021/acs.jproteome.6b00973,citation,NA,NA,NA,2017/04/07 00:00,Oberbach A,1,9
